Age,RelationShip_Status,Gender,Education,Current_Role,Family_Income,q1(S),q6(s),q8(s),q11(s),q12(s),q14(s),q18(s),Stress1
18,0,1,0,0,2,1,2,1,0,1,1,1,14
20,0,1,0,0,2,2,2,2,2,0,1,2,22
18,0,0,0,1,0,2,1,2,2,1,0,1,18
22,0,1,0,0,1,2,0,1,1,2,1,1,16
21,1,1,0,2,2,3,2,1,1,1,0,0,16
19,0,1,0,0,1,0,2,1,1,1,1,1,14
22,0,1,0,1,0,1,1,2,2,1,1,3,22
21,0,0,0,2,2,2,1,1,1,0,1,2,16
18,0,0,0,1,0,1,2,3,2,1,2,1,24
19,0,1,0,2,2,1,2,3,1,3,2,2,28
18,0,1,0,1,0,1,1,1,1,1,0,1,12
21,0,0,0,2,2,1,3,2,2,3,3,3,34
22,0,0,0,2,2,2,2,2,1,3,3,3,32
19,0,1,0,2,2,2,0,2,2,1,3,1,22
21,0,0,0,2,2,2,0,1,0,0,1,0,8
18,0,1,0,2,2,1,1,1,2,1,2,0,16
19,0,1,0,1,0,0,3,3,3,0,1,3,26
18,0,0,0,1,0,2,1,1,2,2,2,3,26
18,0,1,0,0,1,3,2,1,3,2,2,1,28
19,0,1,0,1,0,2,3,3,1,0,3,2,28
20,0,0,0,1,0,1,1,3,3,2,1,3,28
19,0,1,0,2,2,1,0,0,0,0,1,0,4
18,0,0,0,0,1,0,0,0,0,0,0,2,4
18,0,0,0,0,1,2,1,2,1,2,1,1,20
18,0,0,0,1,0,1,0,0,0,0,0,0,2
18,0,1,0,0,1,2,0,0,0,0,1,0,6
18,0,1,0,1,0,0,0,0,0,0,0,0,0
20,0,1,0,1,0,3,0,1,2,2,2,0,20
19,0,1,0,1,0,1,0,1,1,0,2,1,12
22,0,0,0,1,0,1,2,2,3,1,1,2,24
18,0,1,0,2,2,1,2,2,3,1,1,2,24
22,0,1,0,0,1,1,2,1,1,0,1,2,16
22,0,0,0,0,1,3,0,2,0,2,3,0,20
19,0,0,0,0,1,1,3,3,1,3,1,2,28
21,1,0,0,0,1,1,0,3,0,3,2,0,18
18,0,1,0,0,2,2,2,2,1,2,2,2,26
19,0,0,0,2,2,1,2,2,1,2,3,1,24
21,0,0,0,0,1,2,1,1,1,1,1,1,16
22,0,1,0,1,0,3,0,1,0,3,2,2,22
21,0,0,0,2,2,0,1,2,3,2,2,3,26
20,0,1,0,2,2,0,1,2,3,2,3,1,24
19,0,0,0,0,1,1,2,2,2,2,3,1,26
20,0,1,0,2,2,0,2,2,2,3,1,3,26
21,0,1,0,2,2,3,2,2,2,3,3,3,36
21,0,1,0,2,2,3,2,3,3,3,2,1,34
22,0,1,0,1,0,1,0,0,0,0,0,0,2
22,0,0,0,2,2,3,1,2,2,3,3,3,34
19,0,0,0,2,2,1,2,1,2,2,3,2,26
22,0,0,0,1,0,3,2,0,0,0,1,2,16
20,0,1,0,2,2,3,0,3,1,0,2,1,20
18,0,1,0,0,1,3,1,0,1,0,1,1,14
19,0,1,0,2,2,0,0,0,0,0,0,0,0
